"","week","month","item_no","diff","type","total_sold"
"380",39,9,"10055.011624",-37.1696499295724,"Predicted",37.1696499295724
"381",40,10,"10055.011624",-36.7626443042079,"Actual",0
"382",40,10,"10055.011624",-36.7626443042079,"Predicted",36.7626443042079
"383",41,10,"10055.011624",-36.7626443042079,"Actual",0
"384",41,10,"10055.011624",-36.7626443042079,"Predicted",36.7626443042079
"385",42,10,"10055.011624",138.851878523622,"Actual",180
"386",42,10,"10055.011624",138.851878523622,"Predicted",41.1481214763776
"387",43,10,"10055.011624",-40.3253911671545,"Actual",0
"388",43,10,"10055.011624",-40.3253911671545,"Predicted",40.3253911671545
"389",44,10,"10055.011624",-40.2187986662886,"Actual",0
"390",44,10,"10055.011624",-40.2187986662886,"Predicted",40.2187986662886
"391",45,11,"10055.011624",-40.697551806074,"Actual",0
"392",45,11,"10055.011624",-40.697551806074,"Predicted",40.697551806074
"393",46,11,"10055.011624",-36.3600953680884,"Actual",0
"394",46,11,"10055.011624",-36.3600953680884,"Predicted",36.3600953680884
"395",47,11,"10055.011624",-36.3600953680884,"Actual",0
"396",47,11,"10055.011624",-36.3600953680884,"Predicted",36.3600953680884
"397",48,11,"10055.011624",-36.3600953680884,"Actual",0
"398",48,11,"10055.011624",-36.3600953680884,"Predicted",36.3600953680884
"399",49,12,"10055.011624",-35.9619543207112,"Actual",0
"400",49,12,"10055.011624",-35.9619543207112,"Predicted",35.9619543207112
"401",50,12,"10055.011624",-35.9619543207112,"Actual",0
"402",50,12,"10055.011624",-35.9619543207112,"Predicted",35.9619543207112
"403",51,12,"10055.011624",198.207247045006,"Actual",240
"404",51,12,"10055.011624",198.207247045006,"Predicted",41.792752954994
"405",52,12,"10055.011624",-40.6823233368889,"Actual",0
"406",52,12,"10055.011624",-40.6823233368889,"Predicted",40.6823233368889
"407",1,1,"10055.011624",-45.758533990904,"Actual",0
"408",1,1,"10055.011624",-45.758533990904,"Predicted",45.758533990904
"409",3,1,"10055.011625",-42.0361657962405,"Actual",1
"410",3,1,"10055.011625",-42.0361657962405,"Predicted",43.0361657962405
"411",4,1,"10055.011625",-42.4813878622517,"Actual",0
"412",4,1,"10055.011625",-42.4813878622517,"Predicted",42.4813878622517
"413",5,1,"10055.011625",7.46477690915163,"Actual",51
"414",5,1,"10055.011625",7.46477690915163,"Predicted",43.5352230908484
